GEOID,tot_pop,maj_race,maj_hh,med_age,per_own,avg_hh
55079000101,4822,black,nonfamily,31.7,0.23179991067440822,2.07
55079000102,3507,black,family,43.7,0.4996949359365467,2.06
55079000201,5450,black,family,26.4,0.22457002457002456,2.67
55079000202,6101,black,family,31.8,0.5347043701799485,2.61
55079000301,1483,white,family,43.5,0.9498480243161094,2.23
55079000302,3028,black,family,24.1,0.3926002055498458,3.11
55079000303,1873,None,family,32.5,0.6024096385542169,2.82
55079000304,3382,None,family,40,0.9003496503496503,2.94
55079000400,2439,black,family,29.2,0.3080438756855576,2.23
55079000501,3450,None,family,31.3,0.48299845440494593,2.66
55079000502,4878,black,family,26.4,0.2616464582003829,2.92
55079000600,6290,black,family,33.8,0.6153846153846154,2.78
55079000700,3580,black,family,38.5,0.5810439560439561,2.33
55079000800,5129,black,family,33.4,0.5223650385604113,2.62
55079000900,3694,black,family,25.3,0.3845018450184502,2.72
55079001000,3654,black,family,30.1,0.5407239819004525,2.74
55079001100,2800,black,family,27.6,0.31801125703564725,2.62
55079001200,2985,black,family,22.1,0.2555438225976769,3.15
55079001300,3733,black,family,28.4,0.5317965023847376,2.95
55079001400,2595,black,family,24.4,0.32987312572087657,2.99
55079001500,3173,black,family,27.6,0.4730878186968839,3
55079001600,2990,black,family,26.4,0.44831013916500995,2.91
55079001700,4458,black,family,29.7,0.4519289650949173,2.72
55079001800,3153,black,family,26.2,0.3833049403747871,2.69
55079001900,3518,black,family,28.3,0.4662379421221865,2.78
55079002000,2470,black,family,31.4,0.4894957983193277,2.59
55079002100,2474,black,family,30.6,0.336734693877551,2.52
55079002200,1790,black,family,32.8,0.6210826210826211,2.54
55079002300,4406,black,family,33.8,0.45683247570040025,2.52
55079002400,2244,black,family,28.6,0.3502415458937198,2.71
55079002500,2195,black,family,29.8,0.4199029126213592,2.65
55079002600,2829,black,family,28.8,0.4936831875607386,2.75
55079002700,1995,black,family,30.5,0.5114709851551957,2.69
55079002800,2252,black,family,26,0.39125,2.81
55079002900,2179,black,family,28.7,0.5615491009681881,3
55079003000,3782,black,family,33.8,0.7097488921713442,2.79
55079003100,3572,black,family,30.8,0.6527331189710611,2.87
55079003200,2819,black,family,32.9,0.6991869918699187,2.84
55079003300,5182,black,family,30.7,0.5224986765484383,2.74
55079003400,5533,None,family,35,0.4738336713995943,2.23
55079003500,3410,black,family,34.7,0.6900726392251816,2.74
55079003600,1893,black,family,34,0.5519125683060109,2.58
55079003700,2315,black,family,35,0.625,2.56
55079003800,2196,black,family,36.4,0.5370985603543743,2.43
55079003900,2630,black,family,33.9,0.4733893557422969,2.45
55079004000,2662,black,family,26.3,0.37624750499001997,2.65
55079004100,2565,black,family,33,0.5015290519877675,2.61
55079004200,3047,black,family,32,0.3817062445030783,2.6
55079004300,5349,black,family,36,0.5270142180094787,2.53
55079004400,3333,black,nonfamily,31.2,0.16942675159235668,2.12
55079004500,2478,black,family,32.6,0.43468715697036225,2.71
55079004600,2984,black,family,33.9,0.40415913200723325,2.69
55079004700,4021,black,family,33.7,0.4572390572390572,2.71
55079004800,4002,black,family,29.5,0.4364560639070443,2.89
55079004900,4506,black,family,32.3,0.5150784077201448,2.71
55079005000,4707,black,family,33.9,0.5035460992907801,2.38
55079005100,3401,black,nonfamily,34.5,0.383399209486166,2.17
55079005200,1657,white,family,35.8,0.7568345323741007,2.38
55079005300,1920,white,family,34,0.71900826446281,2.27
55079005400,3690,white,nonfamily,38,0.6968660968660969,2.02
55079005500,3318,white,family,37.4,0.8405386250885897,2.35
55079005600,2198,white,family,37,0.8042328042328042,2.17
55079005700,2371,white,family,34.9,0.716105550500455,2.15
55079005800,3430,white,family,34.1,0.592156862745098,2.24
55079005900,3614,black,family,29.6,0.46369518332135157,2.6
55079006000,2658,black,family,26.6,0.2813186813186813,2.92
55079006100,2320,black,family,27.5,0.4879032258064516,3.11
55079006200,2923,black,family,24.8,0.30598669623059865,3.24
55079006300,2462,black,family,26.8,0.3436293436293436,3.17
55079006400,2510,black,family,26,0.3391655450874832,3.32
55079006500,2628,black,family,27.2,0.342042755344418,3.12
55079006600,3053,black,family,27,0.2993262752646776,2.92
55079006700,1492,black,family,26,0.3525641025641026,3.18
55079006800,2813,black,family,30.3,0.3148936170212766,2.83
55079006900,2585,black,family,25.2,0.31009615384615385,3.1
55079007000,3020,black,family,25.9,0.2789317507418398,2.97
55079007100,1912,white,nonfamily,29.9,0.3369447453954496,2.07
55079007200,2791,white,nonfamily,34.9,0.42721733243060256,1.88
55079007300,2477,white,nonfamily,22.8,0.32321428571428573,2.15
55079007400,4122,white,family,19.8,0.6684684684684684,2.5
55079007500,2706,white,nonfamily,25.2,0.5786852589641435,2.7
55079007600,3275,white,nonfamily,28.8,0.20898100172711573,1.78
55079007700,3807,white,nonfamily,25.4,0.1400535236396075,1.68
55079007800,3446,white,nonfamily,22,0.16373124592302674,2.25
55079007900,2224,white,nonfamily,26.6,0.2930672268907563,1.83
55079008000,1951,white,nonfamily,28.2,0.26703296703296703,2.14
55079008100,1331,black,family,29.9,0.234375,2.6
55079008400,1315,black,family,23.3,0.2951653944020356,3.35
55079008500,1309,black,family,27.4,0.25,2.85
55079008600,1500,black,family,24,0.3130630630630631,3.38
55079008700,1410,black,family,27.5,0.3235955056179775,3.17
55079008800,2121,black,family,26.1,0.26875852660300137,2.89
55079008900,1462,black,family,26.6,0.26666666666666666,3.35
55079009000,2544,black,family,20.7,0.24619640387275243,3.5
55079009100,2425,black,family,23.9,0.3172690763052209,3.25
55079009200,1901,black,family,26.1,0.3328025477707006,2.87
55079009300,2535,white,family,32.2,0.5339712918660288,2.42
55079009400,2423,white,family,35,0.5303571428571429,2.16
55079009500,2121,white,family,35.1,0.5876993166287016,2.4
55079009600,2317,black,family,20.4,0.2829581993569132,3.72
55079009700,1939,black,family,21.1,0.42795698924731185,4.17
55079009800,1433,black,family,23.2,0.3161592505854801,3.36
55079009900,1458,black,family,24.9,0.4386792452830189,3.38
55079010600,1192,black,family,28.2,0.37149532710280375,2.77
55079010700,2208,white,nonfamily,29.3,0.3882017126546147,2.07
55079010800,2469,white,nonfamily,27.9,0.20610687022900764,1.5
55079011000,3428,white,nonfamily,33.3,0.1411042944785276,1.34
55079011100,1481,white,nonfamily,29.3,0.10467479674796748,1.49
55079011200,2219,white,nonfamily,30.5,0.2708029197080292,1.62
55079011300,1829,white,nonfamily,29.1,0.2405189620758483,1.46
55079011400,1137,white,nonfamily,29.3,0.38742690058479534,1.66
55079012200,2557,None,family,23.2,0.3265582655826558,3.46
55079012300,1122,black,nonfamily,30.7,0.19883040935672514,2.16
55079012400,2592,white,nonfamily,31.9,0.3981636060100167,2.16
55079012500,2014,white,family,38.6,0.561822125813449,2.17
55079012600,2169,white,nonfamily,37.6,0.5440366972477064,1.98
55079012700,1189,white,family,35.4,0.691470054446461,2.07
55079012800,2958,white,nonfamily,28.9,0.48433530906011857,2.1
55079012900,2942,white,family,33.2,0.5763622409823485,2.25
55079013000,1800,white,family,33.6,0.5074812967581047,2.24
55079013300,1066,None,nonfamily,30.6,0.4,2.4
55079013400,2335,black,nonfamily,30,0.19921491658488713,2.29
55079013500,1911,black,nonfamily,33.5,0.0456754130223518,1.74
55079013600,2489,black,nonfamily,40.4,0.10406091370558376,1.79
55079013700,1578,black,nonfamily,30.1,0.09498680738786279,2.08
55079014100,1551,black,family,23.9,0.004651162790697674,2.4
55079014300,2297,white,nonfamily,31.6,0.12190812720848057,1.35
55079014400,2612,white,nonfamily,26.6,0.21022318214542837,1.49
55079014600,3946,white,nonfamily,20.9,0.019855595667870037,1.72
55079014700,3291,white,nonfamily,21.5,0.019681349578256794,2.21
55079014800,2403,white,nonfamily,22.6,0.04553903345724907,1.9
55079014900,1483,None,nonfamily,25,0.04369538077403246,1.85
55079015700,3231,white,family,26.6,0.27009646302250806,3.46
55079015800,3058,None,family,27.2,0.23804463336875664,3.25
55079015900,3819,None,family,30.4,0.2744939271255061,2.98
55079016000,3310,None,family,26.7,0.3904179408766565,3.32
55079016100,3574,None,family,27.1,0.531979695431472,3.62
55079016200,3366,None,family,27.5,0.39978448275862066,3.53
55079016300,5124,None,family,24.8,0.31088082901554404,3.77
55079016400,4948,None,family,26.1,0.25862068965517243,3.77
55079016500,2695,None,family,26.6,0.2543507362784471,3.55
55079016600,2313,None,family,26.6,0.21638924455825864,2.96
55079016700,3355,None,family,26.3,0.20912547528517111,3.19
55079016800,3450,None,family,24.7,0.2852529601722282,3.71
55079016900,4130,None,family,26.4,0.2967309304274937,3.43
55079017000,6112,None,family,27.9,0.3722707423580786,3.27
55079017100,2937,white,family,26.5,0.5150060024009604,3.53
55079017200,2509,white,family,28.3,0.6179310344827587,3.46
55079017300,3894,None,family,26,0.4774859287054409,3.65
55079017400,2953,None,family,25.1,0.3225806451612903,3.53
55079017500,4185,None,family,25.4,0.3200992555831266,3.45
55079017600,3195,None,family,25.1,0.3090909090909091,3.63
55079017900,3003,white,nonfamily,32.2,0.3411016949152542,2.12
55079018000,2749,white,nonfamily,33.6,0.3570924488355681,1.93
55079018100,1637,white,nonfamily,43.4,0.6689655172413793,1.88
55079018200,1608,white,family,39.9,0.6217277486910995,2.1
55079018300,2344,white,nonfamily,34.3,0.4982142857142857,2.09
55079018400,1404,white,family,33.8,0.5904761904761905,2.23
55079018500,1633,white,family,38.3,0.7858176555716353,2.36
55079018600,3000,None,family,26.6,0.39622641509433965,3.33
55079018700,3876,white,family,27.3,0.37764606265876377,3.28
55079018800,2066,white,family,26.1,0.4217687074829932,3.51
55079018900,1635,white,family,30.3,0.4918625678119349,2.96
55079019000,4545,white,family,35,0.666323377960865,2.33
55079019100,3584,white,family,35.3,0.45650708024275116,2.21
55079019200,3186,white,family,40.2,0.7164280845262441,2.16
55079019300,2557,white,family,39.2,0.838475499092559,2.31
55079019400,3732,white,family,39.4,0.4549132947976879,2.16
55079019500,3350,white,family,37.7,0.7184841453982985,2.59
55079019600,3616,white,family,44.3,0.5279503105590062,2.04
55079019700,5344,white,family,37.1,0.5535154500671742,2.39
55079019800,4913,white,family,41,0.668649885583524,2.25
55079019900,3479,white,family,38.5,0.7408149632598531,2.32
55079020000,3411,white,family,34.6,0.37140948563794257,2.26
55079020100,3529,white,family,36.5,0.43619972260748957,2.39
55079020200,3024,white,family,35.1,0.7168724279835391,2.49
55079020300,3773,white,family,33.2,0.6900625434329395,2.62
55079020400,3216,white,family,28.5,0.5277497477295661,3.24
55079020500,2921,white,family,29.9,0.5817060637204522,3
55079020600,3525,white,family,38.9,0.7019171304885591,2.18
55079020700,4311,white,family,38.4,0.7098890010090817,2.16
55079020800,3009,white,nonfamily,40.2,0.6353814989871708,2.03
55079020900,2553,white,family,37.1,0.7303058387395737,2.36
55079021000,2189,white,family,38,0.7975528364849833,2.43
55079021100,1364,white,family,37.3,0.8171140939597316,2.29
55079021200,2097,white,family,43.8,0.6818181818181818,2.12
55079021300,1631,white,family,42.5,0.376158940397351,2.16
55079021400,3288,white,family,33.4,0.254957507082153,2.33
55079021500,2824,white,family,41.1,0.874031007751938,2.73
55079021600,4365,white,family,36.6,0.6974581525108493,2.71
55079021700,6142,white,family,41,0.7766624843161857,2.52
55079021800,2223,white,family,36.6,0.5523255813953488,2.49
55079030100,4300,white,family,47.8,0.811804008908686,2.38
55079035100,2257,white,family,47,0.9798578199052133,2.67
55079035200,4435,white,family,44.4,0.7667193259610321,2.22
55079040100,1597,white,family,49.5,0.9529411764705882,2.68
55079050101,5990,white,family,41.3,0.8614186141861419,2.44
55079050102,6009,white,family,42.2,0.5500705218617772,2.11
55079060101,4038,white,family,43.4,0.6861520998864926,2.24
55079060102,3138,white,family,51.6,0.9059065934065934,2.15
55079060200,5705,white,family,46.2,0.6462898885044214,2.08
55079070100,4373,white,family,39.1,0.9075471698113208,2.75
55079070200,5172,white,family,42.3,0.9432584269662921,2.91
55079070300,4541,white,family,37,0.698685540950455,2.3
55079080100,2680,white,family,35.8,0.47466874512860485,2.09
55079080200,3368,white,nonfamily,34.6,0.4213381555153707,2.03
55079080300,3884,white,family,41.5,0.7343342036553525,2.54
55079080400,3254,white,nonfamily,35.2,0.2962382445141066,1.7
55079090100,4558,white,family,45,0.6525252525252525,2.2
55079090200,1800,white,family,46.3,0.9356499356499357,2.3
55079090300,3297,white,family,39.3,0.5139442231075697,2.19
55079090600,4642,white,family,42,0.6074808472284813,2.05
55079090700,3159,white,family,39.9,0.8415605095541401,2.52
55079090800,2363,white,family,39.5,0.7944389275074478,2.35
55079090900,3837,white,family,35.1,0.5607819181429444,2.24
55079091000,4438,white,family,34.2,0.6487880350696236,2.29
55079091100,4250,white,family,41.2,0.8160714285714286,2.53
55079091200,4699,white,nonfamily,37.1,0.3876428269149386,1.9
55079091300,3737,white,family,44.8,0.7271004421983576,2.35
55079091400,2195,white,family,38.5,0.6715634837355718,2.3
55079100100,3693,white,family,33.6,0.510624597553123,2.38
55079100200,3724,white,nonfamily,32.8,0.3632075471698113,2.2
55079100300,3067,white,nonfamily,33.6,0.36929761042722664,2.21
55079100400,2801,white,nonfamily,37.9,0.40944272445820434,2.12
55079100500,3557,white,family,35.5,0.5076530612244898,2.18
55079100600,2103,white,family,38.8,0.7448200654307524,2.29
55079100700,2834,white,family,39.4,0.8854337152209493,2.32
55079100800,2975,white,family,42.5,0.7899543378995434,2.25
55079100900,3662,white,nonfamily,36.3,0.43175921120913335,1.89
55079101000,5121,white,family,38.3,0.4242685025817556,2.19
55079101100,1812,white,nonfamily,40.3,0.4819277108433735,1.98
55079101200,3240,white,family,48.2,0.6126187245590231,2.03
55079101300,3142,white,family,41.5,0.6957446808510638,2.23
55079101400,3660,white,family,39.5,0.5905692926969522,2.07
55079101500,4420,white,family,33.7,0.5616649537512847,2.27
55079101600,4582,white,family,37.8,0.6089582284851535,2.21
55079101700,3369,white,family,35.6,0.6469020652898068,2.24
55079101800,2649,white,family,47.1,0.6806201550387597,2.04
55079110100,4305,white,nonfamily,34.4,0.3547583457897359,2.14
55079120101,3953,white,family,45,0.5578465063001146,2.24
55079120102,3891,white,family,49.2,0.6203814064362336,2.23
55079120201,3606,white,family,48.5,0.5511111111111111,2
55079120202,3173,white,nonfamily,43.7,0.5606337599024985,1.93
55079120203,3529,white,family,40.8,0.4392361111111111,2.03
55079120300,1987,white,family,38.5,0.8119760479041916,2.37
55079120400,7312,white,family,40.8,0.5332293291731669,2.14
55079120501,3960,white,family,40.9,0.7273303741280913,2.5
55079120502,5246,white,nonfamily,50.2,0.5892857142857143,1.9
55079130100,4869,white,family,42.9,0.568334937439846,2.32
55079130200,2822,white,family,45.4,0.6505728314238952,2.29
55079140100,2999,white,family,55.1,0.7200287150035893,2.15
55079140201,5235,white,family,42,0.6047778709136631,2.19
55079140202,5812,white,family,42.4,0.7277874564459931,2.52
55079150100,8972,white,family,41.4,0.7366647950589557,2.49
55079150301,5906,white,family,45.2,0.8317836010143702,2.47
55079150303,4856,white,family,46.8,0.7691593125870878,2.26
55079150304,4041,white,family,39.6,0.5213045765386639,2.12
55079160100,6528,white,family,40.8,0.6320721971537661,2.26
55079160202,7310,white,family,39.5,0.5758389261744966,2.42
55079160203,6069,white,family,34.7,0.5890466531440163,2.46
55079160204,4962,white,nonfamily,33.1,0.2416342412451362,1.93
55079160300,9582,white,family,37.7,0.9517045454545454,3.02
55079170100,2689,white,family,43.1,0.6576889661164205,2.34
55079170200,3869,white,family,40.2,0.5187074829931972,2.19
55079170300,2662,white,family,39,0.6429824561403509,2.33
55079170400,3362,white,family,43.4,0.8933021806853583,2.62
55079170500,2471,white,family,44.8,0.4717542120911794,2.2
55079170600,3384,white,nonfamily,36.1,0.3868520859671302,2.14
55079170700,2719,white,family,35.7,0.6289308176100629,2.44
55079180100,3029,white,family,39.4,0.6432234432234433,2.22
55079180200,4536,white,family,37.3,0.48855333658061373,2.2
55079180300,3371,white,family,33.7,0.49230769230769234,2.46
55079180400,2735,white,family,48,0.7023622047244095,2.14
55079180500,4596,white,family,44.3,0.6884346959122633,2.28
55079185100,4210,white,nonfamily,43.3,0.4869158878504673,1.89
55079185200,5149,white,family,41,0.5361702127659574,2.13
55079185300,3438,white,family,43.6,0.6363636363636364,2.13
55079185400,1639,black,family,25.4,0.3180952380952381,3.12
55079185500,1709,black,family,27.1,0.304635761589404,2.83
55079185600,1776,black,family,32.2,0.3119891008174387,2.42
55079185700,2124,black,family,25.6,0.2837653478854025,2.86
55079185800,1606,black,family,30.1,0.5431861804222649,3.05
55079185900,1213,black,family,26.5,0.43333333333333335,3.11
55079186000,1451,black,nonfamily,40.1,0.12824010914051842,1.81
55079186100,2275,black,family,23.8,0.20072115384615385,2.71
55079186200,1422,black,family,34.2,0.3624733475479744,2.71
55079186300,3268,None,nonfamily,30.5,0.16890080428954424,1.61
55079186400,1643,white,nonfamily,20.3,0.002680965147453083,1.27
55079186500,1667,white,nonfamily,30.8,0.2496626180836707,2.23
55079186600,2152,white,family,26.3,0.3590504451038576,3.19
55079186800,1614,None,nonfamily,41.9,0.07418856259659969,1.94
55079186900,2213,white,nonfamily,46.4,0.19971870604781997,1.35
55079187000,3288,white,nonfamily,31,0.18726765799256506,1.43
55079187200,5384,white,family,36,0.8250345781466113,2.48
55079187300,6293,white,family,40.1,0.927313769751693,2.83
55079187400,2341,white,nonfamily,30.7,0.42569992821249103,1.51
